Category Key,Category Name,Group Key,Group Name,Description
diagnosis,Diagnosis ICD-10,A03.3,A03.3,Shigellosis due to Shigella sonnei
diagnosis,Diagnosis ICD-10,A03.8,A03.8,Other shigellosis
diagnosis,Diagnosis ICD-10,A03.9,A03.9,"Shigellosis, unspecified"
diagnosis,Diagnosis ICD-10,A03,A03,Shigellosis
diagnosis,Diagnosis ICD-10,A04.%,A04.%,Other bacterial intestinal infections
diagnosis,Diagnosis ICD-10,A04.0,A04.0,Enteropathogenic Escherichia coli infection
diagnosis,Diagnosis ICD-10,A04.1,A04.1,Enterotoxigenic Escherichia coli infection
diagnosis,Diagnosis ICD-10,A04.2,A04.2,Enteroinvasive Escherichia coli infection
diagnosis,Diagnosis ICD-10,A04.3,A04.3,Enterohaemorrhagic Escherichia coli infection
diagnosis,Diagnosis ICD-10,A04.4,A04.4,Other intestinal Escherichia coli infections
diagnosis,Diagnosis ICD-10,A04.5,A04.5,Campylobacter enteritis
diagnosis,Diagnosis ICD-10,A04.6,A04.6,Enteritis due to Yersinia enterocolitica
diagnosis,Diagnosis ICD-10,A04.7,A04.7,Enterocolitis due to Clostridium difficile
diagnosis,Diagnosis ICD-10,A04.8,A04.8,Other specified bacterial intestinal infections
diagnosis,Diagnosis ICD-10,A04.9,A04.9,"Bacterial intestinal infection, unspecified"
diagnosis,Diagnosis ICD-10,A04,A04,Other bacterial intestinal infections
diagnosis,Diagnosis ICD-10,A05.%,A05.%,"Other bacterial foodborne intoxications, not elsewhere classified"
diagnosis,Diagnosis ICD-10,A05.0,A05.0,Foodborne staphylococcal intoxication
diagnosis,Diagnosis ICD-10,A05.1,A05.1,Botulism
diagnosis,Diagnosis ICD-10,A05.2,A05.2,Foodborne Clostridium perfringens [Clostridium welchii] intoxication
diagnosis,Diagnosis ICD-10,A05.3,A05.3,Foodborne Vibrio parahaemolyticus intoxication
diagnosis,Diagnosis ICD-10,A05.4,A05.4,Foodborne Bacillus cereus intoxication
diagnosis,Diagnosis ICD-10,A05.8,A05.8,Other specified bacterial foodborne intoxications
diagnosis,Diagnosis ICD-10,A05.9,A05.9,"Bacterial foodborne intoxication, unspecified"
diagnosis,Diagnosis ICD-10,A05,A05,"Other bacterial foodborne intoxications, not elsewhere classified"
diagnosis,Diagnosis ICD-10,A06.%,A06.%,Amoebiasis
diagnosis,Diagnosis ICD-10,A06.0,A06.0,Acute amoebic dysentery
diagnosis,Diagnosis ICD-10,A06.1,A06.1,Chronic intestinal amoebiasis
diagnosis,Diagnosis ICD-10,A06.2,A06.2,Amoebic nondysenteric colitis
diagnosis,Diagnosis ICD-10,A06.3,A06.3,Amoeboma of intestine
diagnosis,Diagnosis ICD-10,A06.7,A06.7,Cutaneous amoebiasis
diagnosis,Diagnosis ICD-10,A06.8,A06.8,Amoebic infection of other sites
diagnosis,Diagnosis ICD-10,A06.9,A06.9,"Amoebiasis, unspecified"
diagnosis,Diagnosis ICD-10,A06,A06,Amoebiasis
diagnosis,Diagnosis ICD-10,A07.%,A07.%,Other protozoal intestinal diseases
diagnosis,Diagnosis ICD-10,A07.0,A07.0,Balantidiasis
diagnosis,Diagnosis ICD-10,A07.1,A07.1,Giardiasis [lambliasis]
diagnosis,Diagnosis ICD-10,A07.2,A07.2,Cryptosporidiosis
diagnosis,Diagnosis ICD-10,A07.3,A07.3,Isosporiasis
diagnosis,Diagnosis ICD-10,A07.8,A07.8,Other specified protozoal intestinal diseases
diagnosis,Diagnosis ICD-10,A07.9,A07.9,"Protozoal intestinal disease, unspecified"
diagnosis,Diagnosis ICD-10,A07,A07,Other protozoal intestinal diseases
diagnosis,Diagnosis ICD-10,A08.%,A08.%,Viral and other specified intestinal infections
diagnosis,Diagnosis ICD-10,A08.0,A08.0,Rotaviral enteritis
diagnosis,Diagnosis ICD-10,A08.1,A08.1,Acute gastroenteropathy due to Norovirus
diagnosis,Diagnosis ICD-10,A08.2,A08.2,Adenoviral enteritis
diagnosis,Diagnosis ICD-10,A08.3,A08.3,Other viral enteritis
diagnosis,Diagnosis ICD-10,A08.4,A08.4,"Viral intestinal infection, unspecified"
diagnosis,Diagnosis ICD-10,A08.5,A08.5,Other specified intestinal infections
diagnosis,Diagnosis ICD-10,A08,A08,Viral and other specified intestinal infections
diagnosis,Diagnosis ICD-10,A09.%,A09.%,Other gastroenteritis and colitis of infectious and unspecified origin
diagnosis,Diagnosis ICD-10,A09.0,A09.0,Other and unspecified gastroenteritis and colitis of infectious origin
diagnosis,Diagnosis ICD-10,A09.9,A09.9,Gastroenteritis and colitis of unspecified origin
diagnosis,Diagnosis ICD-10,A09,A09,Other gastroenteritis and colitis of infectious and unspecified origin
diagnosis,Diagnosis ICD-10,A15.%,A15.%,"Respiratory tuberculosis, bacteriologically and histologically confirmed"
diagnosis,Diagnosis ICD-10,A15.0,A15.0,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture"
diagnosis,Diagnosis ICD-10,A15.1,A15.1,"Tuberculosis of lung, confirmed by culture only"
diagnosis,Diagnosis ICD-10,A15.2,A15.2,"Tuberculosis of lung, confirmed histologically"
diagnosis,Diagnosis ICD-10,A15.3,A15.3,"Tuberculosis of lung, confirmed by unspecified means"
diagnosis,Diagnosis ICD-10,A15.4,A15.4,"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically"
diagnosis,Diagnosis ICD-10,A15.5,A15.5,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically"
diagnosis,Diagnosis ICD-10,A15.6,A15.6,"Tuberculous pleurisy, confirmed bacteriologically and histologically"
diagnosis,Diagnosis ICD-10,A15.7,A15.7,"Primary respiratory tuberculosis, confirmed bacteriologically and histologically"
diagnosis,Diagnosis ICD-10,A15.8,A15.8,"Other respiratory tuberculosis, confirmed bacteriologically and histologically"
diagnosis,Diagnosis ICD-10,A15.9,A15.9,"Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically"
diagnosis,Diagnosis ICD-10,A15,A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed"
diagnosis,Diagnosis ICD-10,A16.%,A16.%,"Respiratory tuberculosis, not confirmed bacteriologically or histologically"
diagnosis,Diagnosis ICD-10,A16.0,A16.0,"Tuberculosis of lung, bacteriologically and histologically negative"
diagnosis,Diagnosis ICD-10,A16.1,A16.1,"Tuberculosis of lung, bacteriological and histological examination not done"
diagnosis,Diagnosis ICD-10,A16.2,A16.2,"Tuberculosis of lung, without mention of bacteriological or histological confirmation"
diagnosis,Diagnosis ICD-10,A16.3,A16.3,"Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation"
diagnosis,Diagnosis ICD-10,A16.4,A16.4,"Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation"
diagnosis,Diagnosis ICD-10,A16.5,A16.5,"Tuberculous pleurisy, without mention of bacteriological or histological confirmation"
diagnosis,Diagnosis ICD-10,A16.7,A16.7,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation
diagnosis,Diagnosis ICD-10,A16.8,A16.8,"Other respiratory tuberculosis, without mention of bacteriological or histological confirmation"
diagnosis,Diagnosis ICD-10,A16.9,A16.9,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"
diagnosis,Diagnosis ICD-10,A16,A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically"
diagnosis,Diagnosis ICD-10,A18.%,A18.%,Tuberculosis of other organs
diagnosis,Diagnosis ICD-10,A18.1,A18.1,Tuberculosis of genitourinary system
diagnosis,Diagnosis ICD-10,A18.2,A18.2,Tuberculous peripheral lymphadenopathy
diagnosis,Diagnosis ICD-10,A18.3,A18.3,"Tuberculosis of intestines, peritoneum and mesenteric glands"
diagnosis,Diagnosis ICD-10,A18.4,A18.4,Tuberculosis of skin and subcutaneous tissue
diagnosis,Diagnosis ICD-10,A18.5,A18.5,Tuberculosis of eye
diagnosis,Diagnosis ICD-10,A18.6,A18.6,Tuberculosis of ear
diagnosis,Diagnosis ICD-10,A18.8,A18.8,Tuberculosis of other specified organs
diagnosis,Diagnosis ICD-10,A18,A18,Tuberculosis of other organs
diagnosis,Diagnosis ICD-10,A19.%,A19.%,Miliary tuberculosis
diagnosis,Diagnosis ICD-10,A19.0,A19.0,Acute miliary tuberculosis of a single specified site
diagnosis,Diagnosis ICD-10,A19.1,A19.1,Acute miliary tuberculosis of multiple sites
diagnosis,Diagnosis ICD-10,A19.2,A19.2,"Acute miliary tuberculosis, unspecified"
diagnosis,Diagnosis ICD-10,A19.8,A19.8,Other miliary tuberculosis
diagnosis,Diagnosis ICD-10,A19.9,A19.9,"Miliary tuberculosis, unspecified"
diagnosis,Diagnosis ICD-10,A19,A19,Miliary tuberculosis
diagnosis,Diagnosis ICD-10,A20.%,A20.%,Plague
diagnosis,Diagnosis ICD-10,A20.0,A20.0,Bubonic plague
diagnosis,Diagnosis ICD-10,A20.1,A20.1,Cellulocutaneous plague
diagnosis,Diagnosis ICD-10,A20.2,A20.2,Pneumonic plague
diagnosis,Diagnosis ICD-10,A20.3,A20.3,Plague meningitis
diagnosis,Diagnosis ICD-10,A20.7,A20.7,Septicaemic plague
diagnosis,Diagnosis ICD-10,A20.8,A20.8,Other forms of plague
diagnosis,Diagnosis ICD-10,A20.9,A20.9,"Plague, unspecified"
diagnosis,Diagnosis ICD-10,A20,A20,Plague
diagnosis,Diagnosis ICD-10,A21.%,A21.%,Tularaemia
diagnosis,Diagnosis ICD-10,A21.0,A21.0,Ulceroglandular tularaemia
diagnosis,Diagnosis ICD-10,A21.1,A21.1,Oculoglandular tularaemia
diagnosis,Diagnosis ICD-10,A21.2,A21.2,Pulmonary tularaemia
diagnosis,Diagnosis ICD-10,A21.3,A21.3,Gastrointestinal tularaemia
diagnosis,Diagnosis ICD-10,A21.7,A21.7,Generalized tularaemia
diagnosis,Diagnosis ICD-10,A21.8,A21.8,Other forms of tularaemia
diagnosis,Diagnosis ICD-10,A21.9,A21.9,"Tularaemia, unspecified"
diagnosis,Diagnosis ICD-10,A21,A21,Tularaemia
diagnosis,Diagnosis ICD-10,A22.%,A22.%,Anthrax
diagnosis,Diagnosis ICD-10,A22.0,A22.0,Cutaneous anthrax
diagnosis,Diagnosis ICD-10,A22.1,A22.1,Pulmonary anthrax
diagnosis,Diagnosis ICD-10,A22.2,A22.2,Gastrointestinal anthrax
diagnosis,Diagnosis ICD-10,A22.7,A22.7,Anthrax sepsis
diagnosis,Diagnosis ICD-10,A22.8,A22.8,Other forms of anthrax
diagnosis,Diagnosis ICD-10,A22.9,A22.9,"Anthrax, unspecified"
diagnosis,Diagnosis ICD-10,A22,A22,Anthrax
diagnosis,Diagnosis ICD-10,A23.%,A23.%,Brucellosis
diagnosis,Diagnosis ICD-10,A23.0,A23.0,Brucellosis due to Brucella melitensis
diagnosis,Diagnosis ICD-10,A23.1,A23.1,Brucellosis due to Brucella abortus
diagnosis,Diagnosis ICD-10,A23.2,A23.2,Brucellosis due to Brucella suis
diagnosis,Diagnosis ICD-10,A23.3,A23.3,Brucellosis due to Brucella canis
diagnosis,Diagnosis ICD-10,A23.8,A23.8,Other brucellosis
diagnosis,Diagnosis ICD-10,A23.9,A23.9,"Brucellosis, unspecified"
diagnosis,Diagnosis ICD-10,A23,A23,Brucellosis
diagnosis,Diagnosis ICD-10,A24.%,A24.%,Glanders and melioidosis
diagnosis,Diagnosis ICD-10,A24.0,A24.0,Glanders
diagnosis,Diagnosis ICD-10,A24.1,A24.1,Acute and fulminating melioidosis
diagnosis,Diagnosis ICD-10,A24.2,A24.2,Subacute and chronic melioidosis
diagnosis,Diagnosis ICD-10,A24.3,A24.3,Other melioidosis
diagnosis,Diagnosis ICD-10,A24.4,A24.4,"Melioidosis, unspecified"
diagnosis,Diagnosis ICD-10,A24,A24,Glanders and melioidosis
diagnosis,Diagnosis ICD-10,A25.%,A25.%,Rat-bite fevers
diagnosis,Diagnosis ICD-10,A25.0,A25.0,Spirillosis
diagnosis,Diagnosis ICD-10,A25.1,A25.1,Streptobacillosis
diagnosis,Diagnosis ICD-10,A25.9,A25.9,"Rat-bite fever, unspecified"
diagnosis,Diagnosis ICD-10,A25,A25,Rat-bite fevers
diagnosis,Diagnosis ICD-10,A26.%,A26.%,Erysipeloid
diagnosis,Diagnosis ICD-10,A26.0,A26.0,Cutaneous erysipeloid
diagnosis,Diagnosis ICD-10,A26.7,A26.7,Erysipelothrix sepsis
diagnosis,Diagnosis ICD-10,A26.8,A26.8,Other forms of erysipeloid
diagnosis,Diagnosis ICD-10,A26.9,A26.9,"Erysipeloid, unspecified"
diagnosis,Diagnosis ICD-10,A26,A26,Erysipeloid
diagnosis,Diagnosis ICD-10,A27.%,A27.%,Leptospirosis
diagnosis,Diagnosis ICD-10,A27.0,A27.0,Leptospirosis icterohaemorrhagica
diagnosis,Diagnosis ICD-10,A27.8,A27.8,Other forms of leptospirosis
diagnosis,Diagnosis ICD-10,A27.9,A27.9,"Leptospirosis, unspecified"
diagnosis,Diagnosis ICD-10,A27,A27,Leptospirosis
diagnosis,Diagnosis ICD-10,A28.%,A28.%,"Other zoonotic bacterial diseases, not elsewhere classified"
diagnosis,Diagnosis ICD-10,A28.0,A28.0,Pasteurellosis
diagnosis,Diagnosis ICD-10,A28.1,A28.1,Cat-scratch disease
diagnosis,Diagnosis ICD-10,A28.2,A28.2,Extraintestinal yersiniosis
diagnosis,Diagnosis ICD-10,A28.8,A28.8,"Other specified zoonotic bacterial diseases, not elsewhere classified"
diagnosis,Diagnosis ICD-10,A28.9,A28.9,"Zoonotic bacterial disease, unspecified"
diagnosis,Diagnosis ICD-10,A28,A28,"Other zoonotic bacterial diseases, not elsewhere classified"
diagnosis,Diagnosis ICD-10,A30.%,A30.%,Leprosy [Hansen disease]
diagnosis,Diagnosis ICD-10,A30.0,A30.0,Indeterminate leprosy
diagnosis,Diagnosis ICD-10,A30.1,A30.1,Tuberculoid leprosy
diagnosis,Diagnosis ICD-10,A30.2,A30.2,Borderline tuberculoid leprosy
diagnosis,Diagnosis ICD-10,A30.3,A30.3,Borderline leprosy
diagnosis,Diagnosis ICD-10,A30.4,A30.4,Borderline lepromatous leprosy
diagnosis,Diagnosis ICD-10,A30.5,A30.5,Lepromatous leprosy
diagnosis,Diagnosis ICD-10,A30.8,A30.8,Other forms of leprosy
diagnosis,Diagnosis ICD-10,A30.9,A30.9,"Leprosy, unspecified"
diagnosis,Diagnosis ICD-10,A30,A30,Leprosy [Hansen disease]
diagnosis,Diagnosis ICD-10,A31.%,A31.%,Infection due to other mycobacteria
diagnosis,Diagnosis ICD-10,A31.0,A31.0,Pulmonary mycobacterial infection
diagnosis,Diagnosis ICD-10,A31.1,A31.1,Cutaneous mycobacterial infection
diagnosis,Diagnosis ICD-10,A31.8,A31.8,Other mycobacterial infections
diagnosis,Diagnosis ICD-10,A31.9,A31.9,"Mycobacterial infection, unspecified"
diagnosis,Diagnosis ICD-10,A31,A31,Infection due to other mycobacteria
diagnosis,Diagnosis ICD-10,A32.%,A32.%,Listeriosis
diagnosis,Diagnosis ICD-10,A32.0,A32.0,Cutaneous listeriosis
diagnosis,Diagnosis ICD-10,A32.7,A32.7,Listerial sepsis
diagnosis,Diagnosis ICD-10,A32.8,A32.8,Other forms of listeriosis
diagnosis,Diagnosis ICD-10,A32.9,A32.9,"Listeriosis, unspecified"
diagnosis,Diagnosis ICD-10,A32,A32,Listeriosis
diagnosis,Diagnosis ICD-10,A33,A33,Tetanus neonatorum
diagnosis,Diagnosis ICD-10,A34,A34,Obstetrical tetanus
diagnosis,Diagnosis ICD-10,A35,A35,Other tetanus
diagnosis,Diagnosis ICD-10,A36.%,A36.%,Diphtheria
diagnosis,Diagnosis ICD-10,A36.0,A36.0,Pharyngeal diphtheria
diagnosis,Diagnosis ICD-10,A36.1,A36.1,Nasopharyngeal diphtheria
diagnosis,Diagnosis ICD-10,A36.2,A36.2,Laryngeal diphtheria
diagnosis,Diagnosis ICD-10,A36.3,A36.3,Cutaneous diphtheria
diagnosis,Diagnosis ICD-10,A36.8,A36.8,Other diphtheria
diagnosis,Diagnosis ICD-10,A36.9,A36.9,"Diphtheria, unspecified"
diagnosis,Diagnosis ICD-10,A36,A36,Diphtheria
diagnosis,Diagnosis ICD-10,A37.%,A37.%,Whooping cough
diagnosis,Diagnosis ICD-10,A37.0,A37.0,Whooping cough due to Bordetella pertussis
diagnosis,Diagnosis ICD-10,A37.1,A37.1,Whooping cough due to Bordetella parapertussis
diagnosis,Diagnosis ICD-10,A37.8,A37.8,Whooping cough due to other Bordetella species
diagnosis,Diagnosis ICD-10,A37.9,A37.9,"Whooping cough, unspecified"
diagnosis,Diagnosis ICD-10,A37,A37,Whooping cough
diagnosis,Diagnosis ICD-10,A38,A38,Scarlet fever
diagnosis,Diagnosis ICD-10,A39.%,A39.%,Meningococcal infection
diagnosis,Diagnosis ICD-10,A39.2,A39.2,Acute meningococcaemia
diagnosis,Diagnosis ICD-10,A39.3,A39.3,Chronic meningococcaemia
diagnosis,Diagnosis ICD-10,A39.4,A39.4,"Meningococcaemia, unspecified"
diagnosis,Diagnosis ICD-10,A39.8,A39.8,Other meningococcal infections
diagnosis,Diagnosis ICD-10,A39.9,A39.9,"Meningococcal infection, unspecified"
diagnosis,Diagnosis ICD-10,A39,A39,Meningococcal infection
diagnosis,Diagnosis ICD-10,A40.%,A40.%,Streptococcal sepsis
diagnosis,Diagnosis ICD-10,A40.0,A40.0,"Sepsis due to streptococcus, group A"
diagnosis,Diagnosis ICD-10,A40.1,A40.1,"Sepsis due to streptococcus, group B"
diagnosis,Diagnosis ICD-10,A40.2,A40.2,"Sepsis due to streptococcus, group D and enterococcus"
diagnosis,Diagnosis ICD-10,A40.3,A40.3,Sepsis due to Streptococcus pneumoniae
diagnosis,Diagnosis ICD-10,A40.8,A40.8,Other streptococcal sepsis
diagnosis,Diagnosis ICD-10,A40.9,A40.9,"Streptococcal sepsis, unspecified"
diagnosis,Diagnosis ICD-10,A40,A40,Streptococcal sepsis
diagnosis,Diagnosis ICD-10,A41.%,A41.%,Other sepsis
diagnosis,Diagnosis ICD-10,A41.0,A41.0,Sepsis due to Staphylococcus aureus
diagnosis,Diagnosis ICD-10,A41.1,A41.1,Sepsis due to other specified staphylococcus
diagnosis,Diagnosis ICD-10,A41.2,A41.2,Sepsis due to unspecified staphylococcus
diagnosis,Diagnosis ICD-10,A41.3,A41.3,Sepsis due to Haemophilus influenzae
diagnosis,Diagnosis ICD-10,A41.4,A41.4,Sepsis due to anaerobes
diagnosis,Diagnosis ICD-10,A41.5,A41.5,Sepsis due to other Gram-negative organisms
diagnosis,Diagnosis ICD-10,A41.8,A41.8,Other specified sepsis
diagnosis,Diagnosis ICD-10,A41.9,A41.9,"Sepsis, unspecified"
diagnosis,Diagnosis ICD-10,A41,A41,Other sepsis
diagnosis,Diagnosis ICD-10,A42.%,A42.%,Actinomycosis
diagnosis,Diagnosis ICD-10,A42.0,A42.0,Pulmonary actinomycosis
diagnosis,Diagnosis ICD-10,A42.1,A42.1,Abdominal actinomycosis
diagnosis,Diagnosis ICD-10,A42.2,A42.2,Cervicofacial actinomycosis
diagnosis,Diagnosis ICD-10,A42.7,A42.7,Actinomycotic sepsis
diagnosis,Diagnosis ICD-10,A42.8,A42.8,Other forms of actinomycosis
diagnosis,Diagnosis ICD-10,A42.9,A42.9,"Actinomycosis, unspecified"
diagnosis,Diagnosis ICD-10,A42,A42,Actinomycosis
diagnosis,Diagnosis ICD-10,A43.%,A43.%,Nocardiosis
diagnosis,Diagnosis ICD-10,A43.0,A43.0,Pulmonary nocardiosis
diagnosis,Diagnosis ICD-10,A43.1,A43.1,Cutaneous nocardiosis
diagnosis,Diagnosis ICD-10,A43.8,A43.8,Other forms of nocardiosis
diagnosis,Diagnosis ICD-10,A43.9,A43.9,"Nocardiosis, unspecified"
diagnosis,Diagnosis ICD-10,A43,A43,Nocardiosis
diagnosis,Diagnosis ICD-10,A44.%,A44.%,Bartonellosis
diagnosis,Diagnosis ICD-10,A44.0,A44.0,Systemic bartonellosis
diagnosis,Diagnosis ICD-10,A44.1,A44.1,Cutaneous and mucocutaneous bartonellosis
diagnosis,Diagnosis ICD-10,A44.8,A44.8,Other forms of bartonellosis
diagnosis,Diagnosis ICD-10,A44.9,A44.9,"Bartonellosis, unspecified"
diagnosis,Diagnosis ICD-10,A44,A44,Bartonellosis
diagnosis,Diagnosis ICD-10,A46,A46,Erysipelas
diagnosis,Diagnosis ICD-10,A48.%,A48.%,"Other bacterial diseases, not elsewhere classified"
diagnosis,Diagnosis ICD-10,A48.0,A48.0,Gas gangrene
diagnosis,Diagnosis ICD-10,A48.1,A48.1,Legionnaires disease
diagnosis,Diagnosis ICD-10,A48.2,A48.2,Nonpneumonic Legionnaires disease [Pontiac fever]
diagnosis,Diagnosis ICD-10,A48.3,A48.3,Toxic shock syndrome
diagnosis,Diagnosis ICD-10,A48.4,A48.4,Brazilian purpuric fever
diagnosis,Diagnosis ICD-10,A48.8,A48.8,Other specified bacterial diseases
diagnosis,Diagnosis ICD-10,A48,A48,"Other bacterial diseases, not elsewhere classified"
diagnosis,Diagnosis ICD-10,A49.%,A49.%,Bacterial infection of unspecified site
diagnosis,Diagnosis ICD-10,A49.0,A49.0,"Staphylococcal infection, unspecified site"
diagnosis,Diagnosis ICD-10,A49.1,A49.1,"Streptococcal and enterococcal infection, unspecified site"
diagnosis,Diagnosis ICD-10,A49.2,A49.2,"Haemophilus influenzae infection, unspecified site"
diagnosis,Diagnosis ICD-10,A49.3,A49.3,"Mycoplasma infection, unspecified site"
diagnosis,Diagnosis ICD-10,A49.8,A49.8,Other bacterial infections of unspecified site
diagnosis,Diagnosis ICD-10,A49.9,A49.9,"Bacterial infection, unspecified"
diagnosis,Diagnosis ICD-10,A49,A49,Bacterial infection of unspecified site
diagnosis,Diagnosis ICD-10,A50.%,A50.%,Congenital syphilis
diagnosis,Diagnosis ICD-10,A50.0,A50.0,"Early congenital syphilis, symptomatic"
diagnosis,Diagnosis ICD-10,A50.1,A50.1,"Early congenital syphilis, latent"
diagnosis,Diagnosis ICD-10,A50.2,A50.2,"Early congenital syphilis, unspecified"
diagnosis,Diagnosis ICD-10,A50.3,A50.3,Late congenital syphilitic oculopathy
diagnosis,Diagnosis ICD-10,A50.4,A50.4,Late congenital neurosyphilis [juvenile neurosyphilis]
diagnosis,Diagnosis ICD-10,A50.5,A50.5,"Other late congenital syphilis, symptomatic"
diagnosis,Diagnosis ICD-10,A50.6,A50.6,"Late congenital syphilis, latent"
diagnosis,Diagnosis ICD-10,A50.7,A50.7,"Late congenital syphilis, unspecified"
diagnosis,Diagnosis ICD-10,A50.9,A50.9,"Congenital syphilis, unspecified"
diagnosis,Diagnosis ICD-10,A50,A50,Congenital syphilis
diagnosis,Diagnosis ICD-10,A51.%,A51.%,Early syphilis
diagnosis,Diagnosis ICD-10,A51.0,A51.0,Primary genital syphilis
diagnosis,Diagnosis ICD-10,A51.1,A51.1,Primary anal syphilis
diagnosis,Diagnosis ICD-10,A51.2,A51.2,Primary syphilis of other sites
diagnosis,Diagnosis ICD-10,A51.3,A51.3,Secondary syphilis of skin and mucous membranes
diagnosis,Diagnosis ICD-10,A51.4,A51.4,Other secondary syphilis
diagnosis,Diagnosis ICD-10,A51.5,A51.5,"Early syphilis, latent"
diagnosis,Diagnosis ICD-10,A51.9,A51.9,"Early syphilis, unspecified"
diagnosis,Diagnosis ICD-10,A51,A51,Early syphilis
diagnosis,Diagnosis ICD-10,A52.%,A52.%,Late syphilis
diagnosis,Diagnosis ICD-10,A52.1,A52.1,Symptomatic neurosyphilis
diagnosis,Diagnosis ICD-10,A52.2,A52.2,Asymptomatic neurosyphilis
diagnosis,Diagnosis ICD-10,A52.3,A52.3,"Neurosyphilis, unspecified"
diagnosis,Diagnosis ICD-10,A52.7,A52.7,Other symptomatic late syphilis
diagnosis,Diagnosis ICD-10,A52.8,A52.8,"Late syphilis, latent"
diagnosis,Diagnosis ICD-10,A52.9,A52.9,"Late syphilis, unspecified"
diagnosis,Diagnosis ICD-10,A52,A52,Late syphilis
diagnosis,Diagnosis ICD-10,A53.%,A53.%,Other and unspecified syphilis
diagnosis,Diagnosis ICD-10,A53.0,A53.0,"Latent syphilis, unspecified as early or late"
diagnosis,Diagnosis ICD-10,A53.9,A53.9,"Syphilis, unspecified"
diagnosis,Diagnosis ICD-10,A53,A53,Other and unspecified syphilis
diagnosis,Diagnosis ICD-10,A54.%,A54.%,Gonococcal infection
diagnosis,Diagnosis ICD-10,A54.0,A54.0,Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess
diagnosis,Diagnosis ICD-10,A54.1,A54.1,Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess
diagnosis,Diagnosis ICD-10,A54.2,A54.2,Gonococcal pelviperitonitis and other gonococcal genitourinary infections
diagnosis,Diagnosis ICD-10,A54.3,A54.3,Gonococcal infection of eye
diagnosis,Diagnosis ICD-10,A54.5,A54.5,Gonococcal pharyngitis
diagnosis,Diagnosis ICD-10,A54.6,A54.6,Gonococcal infection of anus and rectum
diagnosis,Diagnosis ICD-10,A54.8,A54.8,Other gonococcal infections
diagnosis,Diagnosis ICD-10,A54.9,A54.9,"Gonococcal infection, unspecified"
diagnosis,Diagnosis ICD-10,A54,A54,Gonococcal infection
diagnosis,Diagnosis ICD-10,A55,A55,Chlamydial lymphogranuloma (venereum)
diagnosis,Diagnosis ICD-10,A56.%,A56.%,Other sexually transmitted chlamydial diseases
diagnosis,Diagnosis ICD-10,A56.0,A56.0,Chlamydial infection of lower genitourinary tract
diagnosis,Diagnosis ICD-10,A56.1,A56.1,Chlamydial infection of pelviperitoneum and other genitourinary organs
diagnosis,Diagnosis ICD-10,A56.2,A56.2,"Chlamydial infection of genitourinary tract, unspecified"
